Müügiloa number;Müügiloa staatus;H/V;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa hoidja organisatsiooni asukoha LOC ID;Juhtumi number;Päritolumaa;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimi liik;Täiendav järelevalve;Pakendi erandite alguskuupäev;Pakendi erandite lõppkuupäev;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Säilitustingimused;Pakendi suurus;Müügiloa taotluse number;Müügiloa taotluse protseduuri number;Esitamise kuupäev
833213;Valid;H;CO-DALNESSA;8mg, 2.5mg, 10mg;Tablett;C09BX01;amlodipiin, indapamiid, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;20.12.2013;;4432;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, indapamiid, amlodipiin;;perindopriil, indapamiid, amlodipiin;8mg, 2.5mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett;1;;
957317;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE ACCORD;40mg, 5mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;Accord Healthcare B.V.;ORG-100003704;LOC-100007148;1;;08.01.2018;08.01.2023;5979;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil;;olmesartaanmedoksomiil, amlodipiin;40mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 1000 Tablett;1;;
616709;Valid;H;DIRONORM;10mg, 5mg;Tablett;C09BB03;amlodipiin, lisinopriil;Gedeon Richter Plc.;ORG-100000640;LOC-100001653;1;;06.02.2009;;2418;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, lisinopriil;;lisinopriil, amlodipiin;10mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida temperatuuril kuni 25°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;90 Tablett, 30 Tablett;1;;
838814;Valid;H;PERINDOPRIL/AMLODIPINE TEVA;5mg;Tablett;C09BB04;perindopriil, amlodipiin;Teva Pharma B.V.;ORG-100000229;LOC-100005270;1;;28.02.2014;;4430;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;perindopriil, amlodipiin;5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett, 10 Tablett;1;;
;Pending;H;CO-DALNESSA NEO;10mg, 5mg, 2.5mg;Tablett;C09BX01;perindopriil, indapamiid, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1736;;;;8962;Chemical Medicinal Product;Ei;;;Tablett;Tablett;indapamiid, amlodipiin, perindopriil;;perindopriil, amlodipiin, indapamiid;10mg, 5mg, 2.5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1736;IE/H/1240/002/DC;31.05.2022
996319;Valid;H;ROXAMPEX;5mg, 4mg, 10mg;Õhukese polümeerikattega tablett;C10BX14;amlodipiin, rosuvastatiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.11.2019;04.11.2024;6826;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;perindopriil, rosuvastatiin, amlodipiin;;amlodipiin, perindopriil, rosuvastatiin;5mg, 4mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
991319;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE KRKA;40mg, 10mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;02.07.2019;02.07.2024;7009;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;olmesartaanmedoksomiil, amlodipiin;40mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett;1;;
1007620;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HCT ACCORD;10mg, 40mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX03;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;Accord Healthcare B.V.;ORG-100003704;LOC-100007148;1435;;25.06.2020;25.06.2025;7040;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;10mg, 40mg, 12.5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;14 Tablett, 28 Tablett, 56 Tablett, 98 Tablett;1435;ES/H/0623/1-5/IA/005;22.12.2021
833313;Valid;H;CO-DALNESSA;5mg, 8mg, 2.5mg;Tablett;C09BX01;indapamiid, perindopriil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;20.12.2013;;4436;Chemical Medicinal Product;Ei;;;Tablett;Tablett;indapamiid, perindopriil, amlodipiin;;amlodipiin, perindopriil, indapamiid;5mg, 8mg, 2.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett;1;;
606408;Valid;H;SANORAL;40mg, 5mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;31.10.2008;;2470;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;olmesartaanmedoksomiil, amlodipiin;40mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 300 Tablett, 500 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
730311;Valid;H;SANORAL HCT;12.5mg, 5mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;01.02.2011;;3390;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;12.5mg, 5mg, 40mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 300 Tablett, 500 Tablett, 84 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
785712;Valid;H;RAMDACORDIA;10mg;Kõvakapsel;C09BB07;amlodipiin, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;2422;;04.05.2012;;9478;Chemical Medicinal Product;Ei;;;;Kõvakapsel;ramipriil, amlodipiin;;ramipriil, amlodipiin;10mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Kapsel, 50 Kapsel, 100 Kapsel, 90 Kapsel, 10 Kapsel, 20 Kapsel;2422;;19.07.2022
979719;Valid;H;WAMLOX;10mg, 320mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;05.02.2019;05.02.2024;6456;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;10mg, 320mg;Suukaudne;;Hoida temperatuuril kuni 30°C;56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 100 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett;1;;
1040221;Valid;H;PERINDOPRIL/ AMLODIPINE ACTAVIS;5mg;Tablett;C09BB04;amlodipiin, perindopriil;Actavis Group Ptc ehf.;ORG-100000064;LOC-100001873;1;;15.09.2021;15.09.2026;7459;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;10 Tablett, 30 Tablett, 90 Tablett;1;;
1051522;Valid;H;DALNESSANEO;10mg, 5mg;Tablett;C09BB04;amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;08.02.2022;08.02.2027;7967;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;10mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett;1;;
915716;Valid;H;FRAMSYL;10mg, 8mg;Kõvakapsel;C09DB07;amlodipiin, kandesartaan;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3824;;13.09.2016;;13031;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;amlodipiin, kandesartaan;;amlodipiin, kandesartaan;10mg, 8mg;Suukaudne;;Hoida temperatuuril kuni 30°C;28 Kapsel, 56 Kapsel, 98 Kapsel;3824;;23.09.2022
1017520;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE TEVA;12.5mg, 40mg, 10mg;Õhukese polümeerikattega tablett;C09DX03;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;Teva B.V.;ORG-100002999;LOC-100003164;1;;29.12.2020;29.12.2025;7241;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;12.5mg, 40mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis;14 Tablett, 28 Tablett, 56 Tablett, 98 Tablett;1;;
537207;Valid;H;AMLODIPIN-RATIOPHARM 10 MG;10mg;Tablett;C08CA01;amlodipiin;Ratiopharm GmbH;ORG-100001437;LOC-100006906;1;;12.02.2007;;2155;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;hoida valguse eest kaitstult, Hoida temperatuuril kuni 25°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;60 Tablett, 30 Tablett, 100 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 56 Tablett, 90 Tablett, 200 Tablett, 250 Tablett, 20 Tablett, 50 Tablett, 98 Tablett;1;;
902816;Valid;H;WAMLOX;80mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;09.02.2016;;5255;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;valsartaan, amlodipiin;80mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;10 Tablett, 56 Tablett, 14 Tablett, 60 Tablett, 28 Tablett, 84 Tablett, 30 Tablett, 90 Tablett, 100 Tablett, 98 Tablett;1;;
996419;Valid;H;ROXAMPEX;10mg, 5mg, 8mg;Õhukese polümeerikattega tablett;C10BX14;perindopriil, rosuvastatiin, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;04.11.2019;04.11.2024;6827;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;rosuvastatiin, amlodipiin, perindopriil;;rosuvastatiin, amlodipiin, perindopriil;10mg, 5mg, 8mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
902916;Valid;H;WAMLOX;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;09.02.2016;;5256;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;98 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 100 Tablett;1;;
538507;Valid;H;AMLOCARD 5 MG;5mg;Tablett;C08CA01;amlodipiin;Hexal AG;ORG-100000313;LOC-100002475;1;;12.02.2007;;2094;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis;14 Tablett, 20 Tablett, 28 Tablett, 50 Tablett, 60 Tablett, 30 Tablett, 90 Tablett, 10 Tablett, 100 Tablett, 120 Tablett, 200 Tablett, 250 Tablett, 105 Tablett;1;;
584208;Valid;H;COVERAM;10mg;Tablett;C09BB04;perindopriil, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;16.05.2008;;2363;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;10mg;Suukaudne;;Hoida pakend tihedalt suletuna, Hoida originaalpakendis, hoida niiskuse eest kaitstult;60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett, 500 Tablett, 84 Tablett, 5 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett;1;;
;Pending;H;QUADRIXAM 5MG/1,25MG/5MG/5MG;5mg, 1.25mg;Kõvakapsel;C09BX80;bisoprolool, amlodipiin, indapamiid, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1974;;;;8906;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;bisoprolool, perindopriil, amlodipiin, indapamiid;;amlodipiin, perindopriil, bisoprolool, indapamiid;5mg, 1.25mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Kapsel;1974;NL/H/5577/001/DC;15.03.2022
;Pending;H;QUADRIXAM 10MG/2,5MG/5MG/5MG;5mg, 2.5mg, 10mg;Kõvakapsel;C09BX80;bisoprolool, indapamiid, amlodipiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1975;;;;8907;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;bisoprolool, indapamiid, amlodipiin, perindopriil;;amlodipiin, bisoprolool, indapamiid, perindopriil;5mg, 2.5mg, 10mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Kapsel;1975;NL/H/5577/002/DC;15.03.2022
;Pending;H;QUADRIXAM 10MG/2,5MG/10MG/5MG;2.5mg, 10mg, 5mg;Kõvakapsel;C09BX80;bisoprolool, indapamiid, perindopriil, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1976;;;;8908;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;bisoprolool, amlodipiin, indapamiid, perindopriil;;indapamiid, amlodipiin, perindopriil, bisoprolool;2.5mg, 10mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Kapsel;1976;NL/H/5577/003/DC;15.03.2022
850614;Valid;H;SOBYCOMBI;5mg;Tablett;C07FB07;amlodipiin, bisoprolool;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;15.09.2014;;4590;Chemical Medicinal Product;Ei;;;Tablett;Tablett;bisoprolool, amlodipiin;;amlodipiin, bisoprolool;5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;84 Tablett, 90 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett;1;;
802112;Valid;H;DALNESSA;5mg, 8mg;Tablett;C09BB04;perindopriil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;10;;30.11.2012;;3746;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;5mg, 8mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;28 Tablett, 30 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;10;;27.06.2022
834914;Valid;H;TRIPLIXAM;10mg, 5mg, 1.25mg;Õhukese polümeerikattega tablett;C09BX01;indapamiid, perindopriil, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;27.01.2014;;4284;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;indapamiid, amlodipiin, perindopriil;;amlodipiin, perindopriil, indapamiid;10mg, 5mg, 1.25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett, 28 Tablett, 84 Tablett, 10 Tablett;1;;
981719;Valid;H;RAMDACORDIA HCT;25mg, 10mg;Kõvakapsel;C09BX03;hüdroklorotiasiid, amlodipiin, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;1391;;05.03.2019;05.03.2024;6321;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;ramipriil, hüdroklorotiasiid, amlodipiin;;hüdroklorotiasiid, ramipriil, amlodipiin;25mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C;10 Kapsel, 20 Kapsel, 30 Kapsel, 60 Kapsel, 100 Kapsel, 50 Kapsel, 90 Kapsel;1391;PL/H/0490/002-006/IB/008;31.12.2021
929616;Valid;H;TELDIPIN;10mg, 40mg;Tablett;C09DB04;amlodipiin, telmisartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;2125;;10.01.2017;;5686;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;amlodipiin, telmisartaan;10mg, 40mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis;60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett;2125;CZ/H/0677/IA/014/G;28.06.2022
584108;Valid;H;COVERAM;5mg;Tablett;C09BB04;perindopriil, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;16.05.2008;;2360;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;5mg;Suukaudne;;Hoida pakend tihedalt suletuna, Hoida originaalpakendis, hoida niiskuse eest kaitstult;84 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 20 Tablett, 5 Tablett, 7 Tablett, 10 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett, 500 Tablett;1;;
833013;Valid;H;CO-DALNESSA;0.625mg, 5mg, 2mg;Tablett;C09BX01;perindopriil, amlodipiin, indapamiid;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;20.12.2013;;4425;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin, indapamiid;;indapamiid, amlodipiin, perindopriil;0.625mg, 5mg, 2mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett;1;;
744411;Valid;H;AMLODIPINE VITABALANS;10mg;Tablett;C08CA01;amlodipiin;Vitabalans Oy;MO193;ML194;1;;10.06.2011;;3287;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida sisepakend välispakendis, hoida valguse eest kaitstult;30 Tablett, 60 Tablett, 100 Tablett, 90 Tablett;1;;
903016;Valid;H;WAMLOX;160mg, 10mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;09.02.2016;;5257;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;valsartaan, amlodipiin;160mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C;30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 100 Tablett;1;;
958918;Valid;H;CAMDERO;5mg, 8mg;Tablett;C09DB07;kandesartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;13.02.2018;13.02.2023;6051;Chemical Medicinal Product;Ei;;;Tablett;Tablett;kandesartaan, amlodipiin;;amlodipiin, kandesartaan;5mg, 8mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 98 Tablett, 100 Tablett;1;;
832813;Valid;H;CO-DALNESSA;4mg, 1.25mg, 10mg;Tablett;C09BX01;perindopriil, amlodipiin, indapamiid;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;20.12.2013;;4427;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin, indapamiid;;perindopriil, indapamiid, amlodipiin;4mg, 1.25mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett;1;;
